Iteration,Runtime(ns)
1199,16147300
1200,16994500
1201,15990900
1202,16992500
1203,17145300
1204,16032200
1205,16364400
1206,16999300
1207,15988200
1208,17023400
1209,16099800
1210,16920400
1211,16058500
1212,16994200
1213,15991200
1214,16992500
1215,16994500
1216,15990800
1217,16992800
1218,15995600
1219,17018100
1220,15994100
1221,16994300
1222,17032200
1223,15979700
1224,16993600
1225,16133800
1226,17032500
1227,15989100
1228,16994600
1229,15992900
1230,16994500
1231,16990400
1232,15992100
1233,16995400
1234,16028900
1235,17025800
1236,16037500
1237,17044100
1238,15992700
1239,16991800
1240,17019300
1241,16022200
1242,16990100
1243,16054300
1244,16992700
1245,16992200
1246,16012700
1247,16992400
1248,15995100
1249,17014800
1250,15993000
1251,16992700
1252,16026600
1253,16992800
1254,15999100
1255,17027300
1256,16010300
1257,17036100
1258,16953800
1259,16140800
1260,15997100
1261,17028200
1262,15991400
1263,16992800
1264,16182400
1265,17042900
1266,15991500
1267,17014000
1268,17036100
1269,16088500
1270,16918400
1271,16017500
1272,17005400
1273,15983500
1274,16989200
1275,15991500
1276,16993900
1277,16992400
1278,15990300
1279,16992500
1280,16992400
1281,15993600
1282,16992100
1283,16993000
1284,15993600
1285,15992900
1286,16992800
1287,16992700
1288,15993300
1289,16991200
1290,15994200
1291,16992700
1292,16992700
1293,15992100
1294,16993900
1295,15993600
1296,17012200
1297,17015400
1298,15992700
1299,15993000
1300,17047000
1301,17017500
1302,15990600
1303,17192800
1304,16018600
1305,15993000
1306,16992400
1307,17017900
1308,15994700
1309,17034300
1310,16016600
1311,17042600
1312,17087200
1313,15991700
1314,15994200
1315,16990400
1316,17030800
1317,15997900
1318,16979800
1319,15994700
1320,16994800
1321,17012800
1322,15994200
1323,15995600
1324,17194000
1325,16996500
1326,16142300
1327,17031100
1328,16019800
1329,15992100
1330,16992700
1331,16992200
1332,16057500
1333,16952900
1334,15992700
1335,16994500
1336,16990700
1337,15991800
1338,15995900
1339,17046400
1340,16988000
1341,15995300
1342,17014900
1343,15993000
1344,16995400
1345,17023700
1346,15992600
1347,15991500
1348,17991900
1349,15994200
1350,16991500
1351,16113700
1352,17238800
1353,15989400
1354,17029400
1355,15991200
1356,16995100
1357,16989700
1358,16081500
1359,15989700
1360,17158000
1361,16021000
1362,15992700
1363,16993000
1364,17012800
1365,17000100
1366,15991200
1367,17013400
1368,15994700
1369,16990700
1370,15993000
1371,16994500
1372,17039000
1373,15991800
1374,16138700
1375,17143000
1376,15992300
1377,16994500
1378,16987500
1379,15996200
1380,16029800
1381,17015800
1382,17021600
1383,16991000
1384,15994700
1385,17019000
1386,15993000
1387,16144900
1388,17054400
1389,15995000
1390,17190800
1391,17032000
1392,15991100
1393,16994300
1394,16030400
1395,16991800
1396,17021100
1397,16057300
1398,16992400
1399,16013400
1400,16993300
1401,15994100
1402,16991000
1403,16180000
1404,16993900
1405,15990900
1406,16993100
1407,15994700
1408,16988000
1409,16131700
1410,16993000
1411,16992100
1412,15993000
1413,15992900
1414,16992500
1415,16992400
1416,17036400
1417,15949000
1418,17013100
1419,15995000
1420,17015800
1421,16023300
1422,15989500
1423,16993900
1424,15992900
1425,16991300
1426,16993600
1427,16993000
1428,15992100
1429,17180100
1430,15998300
1431,16994200
1432,15990000
1433,16993600
1434,16086500
1435,17029700
1436,17038700
1437,15990600
1438,17047700
1439,15969300
1440,15990000
1441,16994800
1442,17019300
1443,15991200
1444,16993900
1445,17163300
1446,15994100
1447,16841100
1448,15993600
1449,16990300
1450,17023500
1451,15992900
1452,15993000
1453,16992700
1454,15993000
1455,16992400
1456,16992400
1457,15993000
1458,16991300
1459,17145600
1460,15992600
1461,15990600
1462,16995100
1463,16992400
1464,15992100
1465,16993300
1466,15993000
1467,15996500
1468,16989200
1469,16992400
1470,15991800
1471,16993900
1472,16992200
1473,15992000
1474,16993700
1475,16992400
1476,15990900
1477,16994800
1478,15990600
1479,16996300
1480,17016900
1481,16026600
1482,15996500
1483,16996000
1484,16985600
1485,15994500
1486,17047900
1487,16979100
1488,15993000
1489,17022500
1490,16029300
1491,15990600
1492,16996900
1493,16990300
1494,15995300
1495,16992200
1496,16990700
1497,15991700
1498,16993700
1499,15993200
1500,16040500
1501,16997100
1502,16992800
1503,16994200
1504,15991200
1505,15992900
1506,16990400
1507,15995000
1508,16992500
1509,16994800
1510,16992100
1511,15991200
1512,16994200
1513,15991500
1514,16992100
1515,16992500
1516,15992900
1517,17090200
1518,14993400
1519,17992000
1520,15992900
1521,15993000
1522,16992400
1523,16992700
1524,15993000
1525,17042600
1526,15993300
1527,16992400
1528,17014000
1529,16139300
1530,16999200
