Iteration,Runtime(ns)
1138,40020900
1139,52417100
1140,78216800
1141,39088300
1142,52966600
1143,78048400
1144,38974000
1145,53968300
1146,75956800
1147,40080600
1148,52969500
1149,77069500
1150,39007200
1151,53042200
1152,77402200
1153,38993600
1154,52196900
1155,77152100
1156,39993800
1157,53939000
1158,76101000
1159,40317600
1160,54069500
1161,76172900
1162,40006000
1163,53299700
1164,77535600
1165,40177200
1166,52086400
1167,76984100
1168,39947700
1169,53181300
1170,75955900
1171,42090400
1172,52971800
1173,76982300
1174,38975400
1175,53940800
1176,77216000
1177,40180000
1178,52973700
1179,75136700
1180,42312000
1181,52132000
1182,75963400
1183,41975700
1184,53166800
1185,77098900
1186,39175600
1187,54138600
1188,76071600
1189,41113500
1190,54031300
1191,75425000
1192,41063200
1193,53315600
1194,77449700
1195,40038700
1196,52109200
1197,77162800
1198,39126600
1199,54032200
1200,77557000
1201,37299200
1202,53969700
1203,76191100
1204,39155500
1205,53264300
1206,76335200
1207,38667900
1208,53295200
1209,76955200
1210,39340200
1211,52809000
1212,77538900
1213,40151500
1214,53573600
1215,75116600
1216,39092600
1217,52975000
1218,77077000
1219,37966300
1220,53325400
1221,76979100
1222,36980000
1223,54286000
1224,75296300
1225,38023200
1226,53049700
1227,76303500
1228,37086000
1229,53189200
1230,76671600
1231,36980900
1232,52155400
1233,77075600
1234,37718600
1235,54064400
1236,77067700
1237,35985400
1238,52295800
1239,76499400
1240,37065900
1241,57055300
1242,73275300
1243,34241000
1244,52968600
1245,76594100
1246,36117900
1247,53054400
1248,75170300
1249,36377700
1250,51454700
1251,76268500
1252,37099000
1253,76281100
1254,53998600
1255,34182300
1256,53249800
1257,76564300
1258,35192800
1259,55055300
1260,77098000
1261,35979300
1262,55103400
1263,74184100
1264,37216100
1265,53083700
1266,76070700
1267,38976800
1268,54134400
1269,75121300
1270,38986200
1271,51970100
1272,80256400
1273,36209400
1274,53567600
1275,76049600
1276,39360800
1277,53771400
1278,75976500
1279,36951100
1280,52299500
1281,77182900
1282,38091800
1283,53081900
1284,77160500
1285,38043300
1286,53457000
1287,76221900
1288,35878100
1289,53251200
1290,82138400
1291,32236800
1292,52940600
1293,77466100
1294,37531000
1295,54174000
1296,76303100
1297,35744200
1298,55089400
1299,75952200
1300,36116900
1301,53923600
1302,76503100
1303,38208900
1304,53415000
1305,75076100
1306,36973900
1307,53988900
1308,76935600
1309,35100900
1310,53751400
1311,77206700
1312,36183200
1313,53311900
1314,77041500
1315,34987500
1316,53080100
1317,77984800
1318,34958100
1319,53184100
1320,76397700
1321,34175300
1322,55545600
1323,74951500
1324,35987800
1325,53021200
1326,77122300
1327,33092000
1328,52961500
1329,77364400
1330,34156600
1331,52475900
1332,78964100
1333,32097800
1334,52085400
1335,75421300
1336,36115600
1337,53167700
1338,75954500
1339,34983800
1340,51343600
1341,77183300
1342,34955800
1343,53039900
1344,79486200
1345,32123900
1346,52119500
1347,76095400
1348,36064700
1349,53195800
1350,77096100
1351,35957400
1352,53188300
1353,76515300
1354,37155400
1355,51082900
1356,77365700
1357,36101100
1358,51965100
1359,76178000
1360,37002500
1361,52785600
1362,77025200
1363,36564000
1364,53200400
1365,74682200
1366,37054700
1367,53159400
1368,76189200
1369,37091500
1370,53460800
1371,75936300
1372,37311700
1373,53200000
1374,77145600
1375,37029000
1376,52538400
1377,76319800
1378,39092000
1379,52843100
1380,77662900
1381,37122900
1382,53123800
1383,76147200
1384,39116800
1385,53089800
1386,78437400
1387,40091400
1388,53083800
1389,76068800
1390,39981200
1391,54224000
1392,76290900
1393,39195100
1394,53318900
1395,75956400
1396,40100700
1397,53990200
1398,80347900
1399,35980700
1400,52338700
1401,78165500
1402,38724800
1403,54415300
1404,76417800
1405,38973000
1406,54071900
1407,76179900
1408,39263200
1409,53200900
1410,77021500
1411,38170200
1412,52547200
1413,77388700
1414,37100400
1415,53055300
1416,80069300
1417,34062400
1418,52987200
1419,77113800
1420,37061300
1421,52085800
1422,76955700
1423,39229700
1424,53054400
1425,75963300
1426,38999700
1427,51939400
1428,77219300
1429,36948800
1430,53086500
1431,76562000
1432,36077800
1433,52285000
1434,77963900
1435,35980300
1436,53297000
1437,75404400
1438,39191400
1439,51284900
1440,78039400
1441,37095800
1442,52225800
1443,75926500
1444,39098100
1445,52277200
1446,77957300
1447,37978900
1448,53381900
1449,75095600
1450,39181200
1451,53454600
1452,76646900
1453,39169900
1454,53200400
1455,76075800
1456,40968900
1457,53451000
1458,75011600
1459,40975900
1460,53097300
1461,74948700
1462,40983800
1463,53134200
1464,77215100
1465,41092000
1466,51949700
1467,75217800
1468,40204700
1469,53172900
1470,75852800
1471,39980800
1472,53244200
1473,76389800
1474,40063400
1475,53299300
1476,76956200
1477,38999200
1478,53508700
1479,75192300
1480,40111800
1481,52529600
1482,78387400
1483,39977100
1484,51313300
1485,75925100
1486,42119400
1487,53448100
1488,75069500
1489,40081600
1490,53369200
1491,77371000
1492,38052600
1493,54032700
1494,75070900
1495,39067300
1496,54424600
1497,79982000
1498,33950400
1499,52080300
1500,76955200
1501,37998500
1502,51254500
1503,78091300
1504,39136800
1505,53939400
1506,75963800
1507,39077600
1508,51656200
1509,78572300
1510,40341800
1511,50943400
1512,78376200
1513,40097900
1514,54428300
1515,75184800
1516,39200300
1517,53568500
1518,77161000
1519,40158000
1520,53413200
1521,77065300
1522,40971200
1523,54316400
1524,76207800
1525,39946300
1526,53968800
1527,76520400
1528,41977000
1529,52341600
1530,77471200
1531,42200500
1532,54196500
1533,74405100
1534,42359200
1535,53116400
1536,77160500
1537,42337200
1538,52280500
1539,77955900
1540,39978000
1541,53975800
1542,77202400
1543,40976900
1544,53537700
1545,77473100
1546,41177400
1547,52947500
1548,78269500
1549,40207000
1550,54061200
1551,76185400
1552,40233200
1553,53454200
1554,76368800
1555,41184400
1556,53063300
1557,77194500
1558,40068100
1559,54025200
1560,75924700
1561,41101300
1562,53202800
1563,76754100
1564,40354000
1565,52009900
1566,78093500
1567,36979600
1568,54086300
1569,75205300
1570,42255100
1571,54427000
1572,77269600
1573,40174900
1574,75526200
1575,55935700
1576,39044000
1577,53959400
1578,77233800
1579,39075200
1580,54602800
1581,75951300
1582,40982900
1583,53080600
1584,77305100
1585,38002200
1586,54939600
1587,75417600
1588,39967700
1589,54209500
1590,76657100
1591,39642600
1592,52091900
1593,78268000
1594,37975700
1595,53967400
1596,76180300
1597,38957700
1598,53423400
1599,76816600
1600,38006000
1601,52188500
1602,77356900
1603,37004800
1604,54240300
1605,76274100
1606,36978600
1607,53186000
1608,77158100
1609,39087900
1610,52383900
1611,76815800
1612,39202100
1613,52112500
1614,77413800
1615,40973600
1616,52111500
1617,76615600
1618,40979100
1619,51112200
1620,78297000
1621,37955600
1622,52085800
1623,75955500
1624,39948600
1625,51968700
1626,77363900
1627,39002500
1628,52510900
1629,77176300
1630,37967700
1631,53215800
1632,76179900
1633,38980500
1634,52965300
1635,76103800
1636,39091600
